iden,forename,surname,position,teamID,age,draftSeason,draftNum,length,salary,guarantee,eLength,eSalary,eGuarantee,potential,speed,burst,power,agility,jumping,stamina,injuryProne,discipline,intelligence,loyalty,greed,ambition,decisions,vision,sPassAcc,mPassAcc,dPassAcc,throwOnRun,routeRun,catching,passBlock,rushBlock,ballSecurity,trucking,kickAccuracy,zoneCover,manCover,blockShedding,ballStrip,tackle,elusiveness,releaseLine,skillMove,rating,growthType,appearance
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Quincy,Adeboyejo,WR,Free Agent,25,2015,224,0,0,0,1,1,1,2,87,87,56,89,83,82,12,89,65,97,94,87,23,24,30,24,15,25,62,58,35,39,72,37,22,24,16,22,20,24,87,24,71,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Hakeem,Adeniji,OT,CIN,22,2020,160,4,825000,50000,1,1,1,3,45,67,84,43,82,82,14,83,57,97,49,74,57,60,6,6,6,6,6,1,67,67,40,10,12,11,16,30,42,36,45,1,10,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Olasunkanmi,Adeniyi,LB,PIT,22,2017,224,1,546667,0,1,1,1,7,63,75,79,80,77,77,17,41,25,95,90,44,34,27,6,6,6,6,8,8,45,45,49,24,12,49,42,62,80,74,70,75,45,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Patrick,Afriyie,DE,Free Agent,24,2017,224,0,0,0,1,1,1,3,65,78,71,76,80,75,16,61,18,82,96,45,31,29,6,6,6,6,24,8,45,45,56,43,12,37,29,64,76,75,63,78,45,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Nelson,Agholor,WR,NE,27,2014,19,3,2790000,1380000,1,1,1,14,85,85,65,93,87,85,11,62,81,56,65,53,69,69,38,33,28,38,74,67,24,53,74,51,31,22,18,25,15,21,85,60,89,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,McTelvin,Agim,DE,DEN,22,2020,94,4,920000,212500,1,1,1,7,55,68,83,70,75,74,8,52,35,77,83,41,45,52,6,6,6,6,10,1,45,45,40,41,21,31,22,67,79,80,61,68,49,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jamal,Agnew,WR,JAX,25,2016,148,2,850000,250000,1,1,1,1,88,85,60,90,86,90,13,75,76,93,42,59,57,51,40,35,30,25,63,63,35,47,73,42,17,62,64,56,70,63,89,44,81,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Salvon,Ahmed,RB,MIA,21,2020,224,1,610000,0,1,1,1,7,83,87,62,84,83,85,13,90,70,82,66,69,51,55,25,20,15,15,48,42,48,30,85,61,10,27,31,30,20,31,82,1,77,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Walt,Aikens,S,Free Agent,29,2013,120,0,0,0,1,1,1,1,80,80,58,81,84,89,7,67,47,77,42,59,49,43,6,6,6,6,15,35,35,35,66,30,25,68,66,47,69,59,75,80,69,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Brandon,Aiyuk,WR,SAN,22,2020,24,4,527500,2607500,1,1,1,15,85,87,65,91,95,84,8,66,86,95,58,66,71,74,25,20,15,24,71,77,36,48,72,62,13,53,48,50,50,49,87,60,83,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Cam,Akers,RB,LAR,21,2020,51,4,932500,607500,1,1,1,3,83,90,73,93,86,86,11,92,78,40,55,99,63,63,47,43,41,55,47,43,57,39,88,80,20,16,12,26,27,28,84,10,84,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Freedom ,Akinmoladun,DT,Free Agent,24,2018,224,0,0,0,1,1,1,1,57,80,75,72,80,73,16,57,27,80,65,50,29,25,6,6,6,6,9,1,45,45,28,25,25,31,23,66,80,76,60,80,42,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jordan,Akins,TE,HOU,28,2017,97,2,640000,190000,1,1,1,3,72,78,76,74,84,83,16,78,66,49,70,99,65,71,36,27,22,30,60,77,56,59,72,70,12,14,12,25,15,28,72,32,72,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Azeez,Al-Shaair,LB,SAN,23,2018,224,2,563333,23333,1,1,1,8,70,78,67,77,80,79,20,42,30,89,43,58,32,33,6,6,6,6,11,28,45,45,46,37,20,55,48,67,83,80,70,78,37,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Otaro,Alaka,LB,BAL,24,2018,224,2,573333,16667,1,1,1,3,67,82,75,81,86,85,13,62,30,81,86,67,31,25,40,35,30,15,8,22,45,45,60,45,12,56,48,71,80,81,70,82,43,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Maurice,Alexander,LB,Free Agent,29,2013,105,0,0,0,1,1,1,11,78,82,71,82,87,91,11,65,53,89,50,89,54,60,6,6,6,6,12,23,35,35,60,49,22,69,59,60,89,75,72,82,46,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,D.J.,Alexander,LB,Free Agent,28,2014,163,0,0,0,1,1,1,7,77,83,69,82,82,79,19,55,43,46,40,56,51,55,6,6,6,6,8,23,45,45,59,42,19,62,56,57,76,78,72,83,32,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Mackensie,Alexander,CB,Free Agent,26,2015,54,0,0,0,1,1,1,1,82,83,59,87,88,90,12,68,73,99,45,79,71,76,6,6,6,6,16,32,10,16,57,28,17,76,80,60,60,64,90,83,70,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Adonis,Alexander,CB,Free Agent,23,2016,160,0,0,0,1,1,1,1,78,83,61,82,83,89,15,41,37,50,83,87,38,45,6,6,6,6,14,45,35,35,59,25,13,62,66,45,50,55,82,83,70,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Kwon,Alexander,LB,Free Agent,26,2014,120,0,0,0,1,1,1,12,78,83,79,84,86,83,23,61,62,95,79,94,69,64,6,6,6,6,8,47,45,45,50,50,20,74,67,73,86,81,80,83,40,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jaire,Alexander,CB,GB,23,2017,17,2,1302500,1710000,1,1,1,10,88,88,60,94,84,95,13,44,88,90,48,95,94,91,6,6,6,6,14,50,35,35,62,25,13,94,96,54,62,58,97,88,81,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Robert,Alford,CB,Free Agent,31,2012,59,0,0,0,1,1,1,6,85,87,59,89,93,92,16,76,45,72,91,54,54,47,6,6,6,6,12,55,35,35,64,29,14,74,72,57,50,55,86,87,81,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Mo,Alie-Cox,TE,IND,26,2017,118,1,750000,0,1,1,1,18,68,75,70,75,85,78,15,96,54,73,59,54,66,62,15,10,6,10,59,73,63,67,72,66,14,13,10,19,12,28,69,40,58,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Nick,Allegretti,OG,KC,24,2018,193,3,635000,25000,1,1,1,1,37,63,83,66,73,81,12,44,62,56,96,88,62,63,6,6,6,6,6,1,68,67,40,25,17,12,12,31,35,41,56,1,12,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Josh,Allen,QB,BUF,24,2017,6,2,1925000,3370000,1,1,1,18,77,80,99,85,90,84,13,96,78,82,95,51,78,85,88,84,87,94,15,1,14,17,57,73,14,18,12,23,11,32,82,80,72,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Brian,Allen,CB,CLE,26,2015,156,1,750000,0,1,1,1,10,85,88,70,92,83,87,10,92,20,80,50,98,23,25,6,6,6,6,16,43,35,35,59,27,17,60,64,49,68,47,84,88,68,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Ricardo,Allen,S,CIN,28,2013,134,1,760000,0,1,1,1,4,80,82,55,89,85,94,9,82,75,74,78,67,71,75,6,6,6,6,12,58,35,35,65,20,17,80,77,60,83,66,87,82,78,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Brandon,Allen,QB,CIN,27,2015,185,1,750000,0,1,1,1,5,62,68,82,80,70,65,15,67,46,44,74,41,46,53,78,69,70,74,15,1,17,16,59,29,20,18,12,21,11,24,78,68,40,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Zach,Allen,DE,ARI,23,2018,64,3,790000,282500,1,1,1,6,57,73,83,75,78,77,8,89,57,96,44,95,57,64,6,6,6,6,23,17,49,50,42,47,12,46,34,73,80,79,66,73,50,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Keenan,Allen,WR,LAC,28,2012,77,5,11920000,6630000,1,1,1,8,82,85,72,92,92,95,17,84,94,55,60,79,94,91,35,28,21,31,83,93,45,59,80,71,20,26,15,35,15,34,89,94,86,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Josh,Allen,DE,JAX,23,2018,6,3,500000,5187500,1,1,1,9,77,80,82,83,81,81,7,49,60,56,60,97,65,62,6,6,6,6,37,55,45,45,67,51,17,60,52,73,82,83,72,80,58,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Dakota,Allen,LB,JAX,24,2018,228,1,590000,0,1,1,1,1,67,77,73,85,83,88,12,48,22,46,99,90,25,20,6,6,6,6,9,12,45,45,44,49,20,55,49,69,81,80,71,77,40,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Dejon,Allen,OG,Free Agent,26,2017,224,0,0,0,1,1,1,9,55,67,84,63,75,81,14,58,28,80,44,88,28,23,6,6,6,6,8,1,59,60,42,25,11,12,12,39,43,45,53,1,10,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Ryan,Allen,P,Free Agent,30,2012,224,0,0,0,1,1,1,1,50,67,91,62,65,80,5,82,1,64,47,62,28,32,30,30,25,20,14,1,14,15,35,10,72,27,16,10,12,29,51,67,10,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Beau,Allen,DT,Free Agent,28,2013,200,0,0,0,1,1,1,1,32,57,88,73,76,66,12,86,47,76,90,79,58,56,6,6,6,6,8,1,53,60,40,20,11,24,20,68,74,82,62,57,45,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Brian,Allen,C,LAR,24,2017,106,2,615000,170000,1,1,1,3,37,58,83,58,67,82,11,49,51,73,88,68,51,44,6,6,6,6,8,1,71,72,27,20,15,14,12,19,20,31,47,1,10,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Marcus,Allen,S,PIT,24,2017,138,1,660000,0,1,1,1,1,75,83,57,79,88,91,8,48,33,81,87,94,42,40,10,10,10,10,11,28,35,35,57,27,10,66,60,59,86,72,79,83,53,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jonathan,Allen,DT,WAS,25,2016,16,2,1106000,2864000,1,1,1,11,53,72,93,72,74,75,15,82,88,53,89,75,86,89,6,6,6,6,5,1,45,45,40,28,8,29,24,82,80,91,54,72,50,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Kyle,Allen,QB,WAS,24,2017,224,1,680000,0,1,1,1,1,70,75,85,75,71,71,11,85,54,60,51,42,54,60,83,80,76,75,15,1,17,16,56,27,15,18,12,21,11,28,79,75,64,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Geronimo,Allison,WR,DET,26,2015,224,1,750000,140000,1,1,1,3,78,80,68,83,86,82,13,78,70,48,73,46,60,53,15,10,6,10,69,72,35,58,72,61,41,21,13,35,12,38,81,58,74,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Kiko,Alonso,QB,Free Agent,30,2012,45,0,0,0,1,1,1,3,67,75,29,82,75,96,25,40,60,88,84,56,60,60,6,6,6,6,6,60,45,45,57,48,19,64,53,67,85,84,73,75,37,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Tyson,Alualu,DT,PIT,33,2009,9,2,880000,590000,1,1,1,12,53,70,87,69,75,67,5,94,93,63,84,53,89,83,6,6,6,6,5,1,45,45,35,22,30,29,21,82,84,85,62,70,44,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Ugo,Amadi,CB,SEA,23,2018,125,3,630000,160000,1,1,1,11,80,82,62,84,82,87,11,83,47,90,82,93,48,53,25,20,17,21,24,47,35,35,64,44,20,77,74,54,75,71,86,82,68,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Danny,Amendola,WR,Free Agent,34,2007,224,0,0,0,1,1,1,1,75,82,52,86,76,93,19,75,83,78,66,43,78,81,36,33,32,10,74,78,24,58,73,44,24,20,14,35,15,25,81,64,82,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Kofi,Amichia,OG,Free Agent,26,2015,187,0,0,0,1,1,1,2,55,70,89,65,81,83,9,91,32,93,75,67,32,38,6,6,6,6,9,1,66,61,22,24,25,15,12,20,35,30,48,1,17,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Adrian,Amos,S,GB,27,2014,133,3,6000000,3000000,1,1,1,7,87,85,72,84,85,88,8,75,77,85,57,93,85,79,15,10,10,15,12,48,35,35,65,40,25,88,80,66,86,73,86,85,60,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Prince,Amukamara,CB,Free Agent,31,2010,18,0,0,0,1,1,1,14,82,83,70,89,89,92,12,94,78,91,53,61,77,72,6,6,6,6,10,42,35,35,66,35,15,75,72,53,65,60,86,83,82,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Bradlee,Anae,DE,DAL,22,2020,161,4,825000,57500,1,1,1,8,60,75,79,73,77,87,8,97,40,41,82,84,51,55,6,6,6,6,6,1,45,45,36,32,18,40,27,64,79,73,67,75,42,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Tremayne,Anchrum Jr,C,LAR,22,2020,227,4,825000,17500,1,1,1,1,40,62,84,57,63,89,12,79,48,64,60,80,48,45,10,6,6,6,7,1,63,62,25,29,13,15,12,26,30,24,50,1,15,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Calvin,Anderson,OT,DEN,24,2018,224,1,590000,0,1,1,1,11,37,67,83,73,76,83,13,94,34,94,88,45,34,28,6,6,6,6,6,1,61,61,33,31,22,15,12,15,44,30,58,1,20,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Stephen,Anderson,TE,LAC,27,2015,224,1,660000,0,1,1,1,1,73,82,74,82,89,81,13,70,54,48,64,51,29,36,54,50,39,49,55,65,62,58,69,60,19,21,14,46,25,35,81,34,63,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Ryan,Anderson,DE,NYG,26,2016,48,1,760000,0,1,1,1,8,68,73,82,77,71,83,12,81,38,92,50,43,48,44,6,6,6,6,11,30,45,56,55,43,15,65,56,63,83,84,66,73,42,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Robby,Anderson,WR,CAR,27,2015,224,2,4250000,5750000,1,1,1,5,90,87,59,84,86,85,15,52,84,54,46,44,88,87,15,10,6,10,80,87,35,45,76,46,11,25,20,26,12,21,85,78,82,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jet,Anderson,RB,Free Agent,22,2020,224,0,0,0,1,1,1,5,77,83,66,87,86,82,12,95,66,84,77,67,32,27,20,15,10,10,48,43,43,40,87,71,14,36,28,36,40,40,86,14,76,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Rodney,Anderson,RB,Free Agent,23,2018,198,0,0,0,1,1,1,1,82,83,76,86,85,79,21,42,73,46,64,81,37,42,20,15,10,15,51,43,48,34,89,77,16,22,15,29,29,31,82,14,73,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Bruce,Anderson,RB,Free Agent,23,2018,224,0,0,0,1,1,1,10,77,83,73,78,76,83,13,82,70,79,69,52,32,31,22,16,10,16,41,38,48,30,85,77,20,17,14,28,30,36,77,1,74,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Henry,Anderson,DE,NE,29,2014,92,3,1790000,1190000,1,1,1,5,53,70,86,72,74,74,18,78,65,91,79,64,62,64,6,6,6,6,5,7,45,45,45,44,25,29,25,79,76,85,63,70,46,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Abdullah,Anderson,DE,PIT,24,2017,224,1,760000,0,1,1,1,1,47,68,90,71,74,68,13,73,13,74,53,62,17,10,6,6,6,6,9,17,45,45,35,35,14,19,11,64,81,79,58,68,40,1,2,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Josh,Andrews,C,NYJ,29,2013,224,1,750000,0,1,1,1,2,48,68,83,69,73,87,8,41,34,51,84,62,34,27,6,6,6,6,6,1,61,70,40,10,25,15,12,28,55,35,51,1,10,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,David,Andrews,C,NE,28,2014,224,3,3590000,2390000,1,1,1,1,45,72,87,57,74,88,13,62,89,57,92,72,89,84,6,6,6,6,6,1,85,88,22,26,20,15,13,40,37,38,53,1,10,1,1,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Mark,Andrews,TE,BAL,24,2017,85,2,655000,205000,1,1,1,12,77,83,79,80,88,94,12,76,83,62,73,60,94,88,15,10,5,10,73,77,53,65,72,71,10,15,12,28,25,27,75,62,74,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Bryan,Anger,P,DAL,31,2011,70,1,760000,0,1,1,1,3,50,68,95,70,75,85,3,64,1,47,74,42,34,37,30,30,25,20,14,42,19,25,60,25,81,25,11,17,22,34,51,68,45,1,0,"[""Head3"",""Eyes3"",""Hair4White"",""Beard4White""]"
